"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T09:09:00.7379257+07:00","20388",,"89.34","102.4","48.22","3060","0.13"
"2026-08-18T09:09:04.3561619+07:00","20388","5.51","89.34","102.4","46.56","2967","0.13"
"2026-08-18T09:09:07.4035697+07:00","20388","6.45","117","132.09","36.52","2715","0.7"
"2026-08-18T09:09:10.4220150+07:00","20388","7.2","117.54","132.09","41.48","3017","0.04"
"2026-08-18T09:09:13.4457485+07:00","20388","6.98","118.07","132.6","34.97","3016","0.38"
"2026-08-18T09:09:16.4706722+07:00","20388","6.93","118.32","132.86","39.42","3025","0.61"
"2026-08-18T09:09:19.4871080+07:00","20388","7.08","118.32","132.86","45.58","3034","0.11"
"2026-08-18T09:09:22.5048961+07:00","20388","6.6","118.32","132.86","32.07","3030","0.05"
"2026-08-18T09:09:25.5287437+07:00","20388","6.85","118.57","133.12","36.9","2951","0.57"
"2026-08-18T09:09:28.5537403+07:00","20388","6.71","118.57","133.12","40.18","2953","0.15"
"2026-08-18T09:09:31.5736866+07:00","20388","6.98","118.57","133.12","23.3","2986","0.1"
"2026-08-18T09:09:34.5987200+07:00","20388","0","118.57","133.12","10.16","3697","0.09"
"2026-08-18T09:09:37.6319097+07:00","20388","0","118.57","133.12","16.97","3708","0"
"2026-08-18T09:09:40.6611172+07:00","20388","0.21","45.74","58.11","10.27","3750","0.1"
