"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T08:33:55.6077770+07:00","20388",,"79,66","97,82","13,11","3648","0,07"
"2026-08-18T08:33:58.4087015+07:00","20388",,"79,66","97,82","18,22","3561","0,07"
"2026-08-18T08:34:00.4511374+07:00","20388",,"79,66","97,82","26,7","3601","0,07"
"2026-08-18T08:34:02.4791255+07:00","20388",,"79,66","97,82","18,49","3577","0,08"
"2026-08-18T08:34:04.5037176+07:00","20388",,"79,66","97,82","13,53","3607","0,05"
"2026-08-18T08:34:06.5323580+07:00","20388",,"79,66","97,82","54,35","3572","5,96"
"2026-08-18T08:34:08.5579021+07:00","20388",,"80,18","98,21","48,02","3517","21,03"
"2026-08-18T08:34:10.5838336+07:00","20388",,"80,37","98,54","25,59","3505","27,15"
"2026-08-18T08:34:12.6100952+07:00","20388",,"80,39","99,13","22,83","3511","8,86"
"2026-08-18T08:34:14.6433510+07:00","20388",,"80,77","98,82","15,76","3540","11,86"
"2026-08-18T08:34:16.6749354+07:00","20388",,"80,54","98,37","28,59","3496","41,36"
"2026-08-18T08:34:18.6910330+07:00","20388",,"81,2","98,87","14,73","3496","8,53"
"2026-08-18T08:34:20.7138930+07:00","20388",,"82,25","99,47","33,29","3499","49,84"
"2026-08-18T08:34:22.7463001+07:00","20388",,"82,33","99,47","24,71","3437","63,84"
"2026-08-18T08:34:24.7594055+07:00","20388",,"82,55","99,26","21,09","3465","8,88"
"2026-08-18T08:34:26.7823152+07:00","20388",,"82,72","98,32","24,26","3481","8,79"
"2026-08-18T08:34:28.7985166+07:00","20388",,"83,05","98,87","13,12","3491","0,11"
