"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T08:35:26.1141414+07:00","20388",,"80,61","99,86","30,98","3520","20,95"
"2026-08-18T08:35:28.9489070+07:00","20388",,"80,61","99,86","36,64","3465","0,02"
"2026-08-18T08:35:30.9805985+07:00","20388",,"80,61","99,86","49,43","3431","0,62"
"2026-08-18T08:35:33.0197756+07:00","20388",,"80,61","99,86","24,74","3405","0,16"
"2026-08-18T08:35:35.0634047+07:00","20388",,"80,61","99,86","18,59","3405","0,16"
"2026-08-18T08:35:37.0905390+07:00","20388",,"80,61","99,86","59,03","3331","9,95"
"2026-08-18T08:35:39.1080335+07:00","20388",,"82,45","99,28","39,88","3270","22,45"
"2026-08-18T08:35:41.1310990+07:00","20388",,"83,32","98,64","62,44","3431","8,41"
"2026-08-18T08:35:43.1522870+07:00","20388",,"84,84","104,25","38,54","3393","8,7"
"2026-08-18T08:35:45.1834266+07:00","20388",,"89,37","104,25","14,07","3378","201,31"
"2026-08-18T08:35:47.1976128+07:00","20388",,"88,87","103,02","31,39","3419","8,41"
"2026-08-18T08:35:49.2186112+07:00","20388",,"88,93","103,08","24,76","3373","9,68"
"2026-08-18T08:35:51.2432987+07:00","20388",,"89,45","104,27","15,93","3404","52,05"
"2026-08-18T08:35:53.2628816+07:00","20388",,"89,45","104,27","38,18","3378","9,06"
"2026-08-18T08:35:55.2950519+07:00","20388",,"89,12","104,1","22,16","3406","9,58"
"2026-08-18T08:35:57.3200029+07:00","20388",,"91,29","104,34","24,21","3425","8,39"
"2026-08-18T08:35:59.3359101+07:00","20388",,"91,3","104,34","20,01","3428","2,21"
