"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T09:06:51.2898507+07:00","20388",,"82.6","100.67","47.53","3258","0.56"
"2026-08-18T09:06:54.8660225+07:00","20388","5.9","86.04","101.09","49.11","3181","0.08"
"2026-08-18T09:06:57.9107027+07:00","20388","7.36","86.64","101.57","45.14","3032","0.15"
"2026-08-18T09:07:00.9468985+07:00","20388","7.29","86.64","101.57","28.53","2835","0.02"
"2026-08-18T09:07:03.9721216+07:00","20388","6.97","86.57","101.57","47.33","3084","0.24"
"2026-08-18T09:07:06.9985677+07:00","20388","7.96","86.57","101.57","38.47","3168","0.16"
"2026-08-18T09:07:10.0334125+07:00","20388","7.64","86.57","101.57","29.32","3102","0.28"
"2026-08-18T09:07:13.0690517+07:00","20388","7.03","86.57","101.57","33.68","3103","0"
"2026-08-18T09:07:16.0950164+07:00","20388","7.53","86.57","101.57","38.48","3066","0.15"
"2026-08-18T09:07:19.1234841+07:00","20388","7.48","86.57","101.57","41.09","3082","0.09"
"2026-08-18T09:07:22.1515342+07:00","20388","7.18","86.63","101.57","23.99","3092","0.13"
"2026-08-18T09:07:25.1807714+07:00","20388","0","86.63","101.57","7.89","3777","0.08"
"2026-08-18T09:07:28.2061060+07:00","20388","0","86.63","101.57","16.49","3748","0.03"
"2026-08-18T09:07:31.2338449+07:00","20388","0","86.63","101.57","14.4","3766","0.16"
