"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T08:37:01.9606873+07:00","20388",,"81,61","99,7","9,53","3493","0,02"
"2026-08-18T08:37:04.7802782+07:00","20388",,"81,61","99,7","39,41","3413","0,12"
"2026-08-18T08:37:06.8326262+07:00","20388",,"81,61","99,7","22,12","3434","0,03"
"2026-08-18T08:37:08.8567019+07:00","20388",,"81,61","99,7","30,93","3438","0,07"
"2026-08-18T08:37:10.8832351+07:00","20388",,"81,61","99,7","28,83","3438","0,05"
"2026-08-18T08:37:12.9005695+07:00","20388",,"81,61","99,7","70,26","3320","6,78"
"2026-08-18T08:37:14.9330553+07:00","20388",,"84,12","101,56","54,42","3281","12,07"
"2026-08-18T08:37:16.9674688+07:00","20388",,"85,88","101,95","60,66","3241","10,65"
"2026-08-18T08:37:18.9872711+07:00","20388",,"87,85","102,73","38,58","3170","8,92"
"2026-08-18T08:37:21.0078152+07:00","20388",,"88,14","111,5","30,2","3180","8,89"
"2026-08-18T08:37:23.0406960+07:00","20388",,"93,89","111,45","46,1","3097","10,16"
"2026-08-18T08:37:25.0704203+07:00","20388",,"98,82","111,46","28,38","3028","20,43"
"2026-08-18T08:37:27.1078407+07:00","20388",,"98,82","111,46","43,24","3049","8,99"
"2026-08-18T08:37:29.1251116+07:00","20388",,"98,83","111,46","31,91","2984","10,61"
"2026-08-18T08:37:31.1625282+07:00","20388",,"98,84","111,48","21,74","3024","124,52"
"2026-08-18T08:37:33.2131310+07:00","20388",,"98,84","111,48","30,95","3135","9,46"
"2026-08-18T08:37:35.2520520+07:00","20388",,"98,86","111,48","20,41","3128","8,35"
