"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T09:08:03.5535079+07:00","20388",,"86.63","101.57","48.57","3496","0.44"
"2026-08-18T09:08:07.1520031+07:00","20388","5.86","89.05","101.57","52.43","3416","0.15"
"2026-08-18T09:08:10.1898311+07:00","20388","7.12","89.37","102.09","54.95","3231","0.14"
"2026-08-18T09:08:13.2146972+07:00","20388","7.45","89.37","102.4","31.3","3028","0.02"
"2026-08-18T09:08:16.2319847+07:00","20388","7.38","89.37","102.4","35.76","2951","0.49"
"2026-08-18T09:08:19.2512028+07:00","20388","7.16","89.37","102.4","42.01","2932","0.13"
"2026-08-18T09:08:22.2778181+07:00","20388","7.57","89.37","102.4","31.47","2963","0.09"
"2026-08-18T09:08:25.3155851+07:00","20388","7.84","89.37","102.4","35.86","2981","0"
"2026-08-18T09:08:28.3335675+07:00","20388","6.9","89.37","102.4","31.72","2967","0.12"
"2026-08-18T09:08:31.3583803+07:00","20388","7.15","89.38","102.4","26.75","2939","0.06"
"2026-08-18T09:08:34.3679295+07:00","20388","7.05","89.38","102.4","24.6","2937","0.13"
"2026-08-18T09:08:37.4016495+07:00","20388","0","89.38","102.4","9.88","3703","0.04"
"2026-08-18T09:08:40.4302748+07:00","20388","0","89.38","102.4","15.35","3708","0.03"
"2026-08-18T09:08:43.4518121+07:00","20388","0","89.38","102.4","20.36","3715","0.04"
